,Demand,Daily_Average
EGLL,48337,1559.258064516129
LFPG,45887,1480.225806451613
EHAM,44990,1451.2903225806451
LTBA,44544,1436.9032258064517
EDDF,43662,1408.4516129032259
LEMD,37216,1200.516129032258
EDDM,33947,1095.0645161290322
LEBL,25917,836.0322580645161
LIRF,24921,803.9032258064516
LSZH,23289,751.258064516129
EGKK,22625,729.8387096774194
EKCH,21504,693.6774193548387
ENGM,21121,681.3225806451613
ESSA,20995,677.258064516129
LFPO,19912,642.3225806451613
LTFJ,19546,630.516129032258
LPPT,19493,628.8064516129032
EBBR,19371,624.8709677419355
EIDW,19300,622.5806451612904
LOWW,18804,606.5806451612904
EFHK,17211,555.1935483870968
LSGG,17023,549.1290322580645
EGSS,17020,549.0322580645161
EDDL,16178,521.8709677419355
LIMC,16016,516.6451612903226
EGCC,15733,507.51612903225805
EPWA,15501,500.03225806451616
UUEE,13664,440.7741935483871
LGAV,13371,431.3225806451613
GCLP,12839,414.16129032258067
LLBG,12685,409.19354838709677
EDDT,12203,393.64516129032256
OMDB,12028,388.0
EDDK,11877,383.1290322580645
EDDH,11468,369.93548387096774
LTAC,11430,368.7096774193548
LKPR,11065,356.93548387096774
EGGW,11047,356.35483870967744
EGPH,10040,323.8709677419355
LIML,9850,317.741935483871
LROP,9740,314.19354838709677
LHBP,9254,298.51612903225805
OTHH,9253,298.48387096774195
LFMN,9056,292.1290322580645
LFLL,9020,290.96774193548384
GMMN,8927,287.96774193548384
EDDS,8847,285.38709677419354
EGBB,8738,281.8709677419355
LEMG,8556,276.0
LFBO,8400,270.96774193548384
EDDB,8394,270.7741935483871
KJFK,8056,259.8709677419355
LIME,7890,254.51612903225808
LPPR,7866,253.74193548387098
LFML,7845,253.06451612903226
UKBB,7791,251.32258064516128
LEPA,7686,247.93548387096774
EDDP,7291,235.19354838709677
EGPF,7286,235.03225806451613
GCTS,7082,228.4516129032258
LTBJ,6939,223.83870967741936
EGLC,6800,219.3548387096774
ENBR,6775,218.5483870967742
EVRA,6613,213.32258064516128
ELLX,6463,208.48387096774192
ESGG,6286,202.7741935483871
LFSB,6084,196.25806451612902
LEAL,6065,195.6451612903226
LIPZ,6060,195.48387096774192
LIPE,5951,191.96774193548387
GCXO,5742,185.2258064516129
LTAI,5735,185.0
EGNX,5663,182.67741935483872
EGPD,5578,179.93548387096774
GCRR,5411,174.5483870967742
UUDD,5386,173.74193548387098
LIRN,5222,168.4516129032258
LEVC,5148,166.06451612903226
EGGD,5145,165.96774193548387
LYBE,5102,164.58064516129033
LICC,5100,164.51612903225808
ENZV,5080,163.8709677419355
UBBB,5038,162.51612903225808
OLBA,4913,158.48387096774192
LBSF,4910,158.38709677419354
LFBD,4781,154.2258064516129
GCFV,4728,152.51612903225808
EDDV,4695,151.4516129032258
ENVA,4607,148.61290322580646
LIRA,4584,147.8709677419355
LFPB,4496,145.03225806451613
EPKK,4485,144.67741935483872
LFRS,4412,142.32258064516128
EBCI,4400,141.93548387096774
ESSB,4283,138.16129032258064
DAAG,4259,137.38709677419354
UUWW,4223,136.2258064516129
LEZL,4218,136.06451612903226
ENTC,4106,132.4516129032258
EGAA,3968,128.0
KEWR,3961,127.7741935483871
EDDN,3908,126.06451612903226
EBLG,3875,125.0
GMMX,3839,123.83870967741936
LIMF,3823,123.3225806451613
LMML,3809,122.87096774193549
OMAA,3807,122.80645161290323
EYVI,3776,121.80645161290323
HECA,3716,119.87096774193549
EPGD,3655,117.90322580645162
VHHH,3653,117.83870967741936
DTTA,3595,115.96774193548387
LICJ,3568,115.09677419354838
LCLK,3544,114.3225806451613
ENBO,3491,112.61290322580645
EKBI,3470,111.93548387096774
EETN,3441,111.0
LEBB,3378,108.96774193548387
ULLI,3340,107.74193548387096
ZSPD,3299,106.41935483870968
BIKF,3293,106.2258064516129
EGHI,3260,105.16129032258064
OEJN,3247,104.74193548387096
EGNT,3243,104.61290322580645
LTAF,3238,104.45161290322581
VTBS,3211,103.58064516129032
LDZA,3190,102.90322580645162
EGGP,3143,101.38709677419355
EHEH,3135,101.12903225806451
LGTS,3090,99.6774193548387
ZBAA,3061,98.74193548387096
EGAC,3004,96.90322580645162
UGTB,3004,96.90322580645162
